"Year","Month","Day","Hour","Line","NumberOfOutliers"
2013,10,24,9,634,2
2013,12,9,16,173,1
2013,12,17,12,512,2
2013,11,7,10,2381,1
2013,12,21,23,830,1
2013,12,21,23,839,2
2013,12,20,12,308,1
2013,12,1,20,178,1
2013,11,6,23,184,1
2013,11,6,23,180,2
2013,11,8,15,298,1
2013,12,7,10,650,1
2013,12,25,20,398,2
2013,12,24,18,849,2
2013,10,16,5,328,6
2013,10,16,5,322,4
2013,10,16,5,323,7
2013,12,10,18,771,1
2013,10,17,14,313,1
2013,12,6,20,696,1
2013,12,22,20,2336,3
2013,12,24,2,398,1
2013,10,31,3,584,1
2013,10,16,15,375,1
2013,10,16,22,783,1
2013,11,30,15,181,1
2013,12,6,11,2345,1
2013,12,15,23,180,1
2013,12,15,23,183,1
2013,11,24,18,483,1
2013,12,14,4,608,1
2013,10,26,23,415,1
2013,10,28,3,634,1
2013,10,15,11,374,1
2013,10,15,11,375,3
2013,12,31,15,385,1
2013,12,31,15,382,1
2013,10,15,11,378,6
2013,10,15,11,379,2
2013,11,12,5,376,1
2013,12,9,20,229,1
2013,11,8,15,835,1
2013,12,1,9,322,2
2013,12,30,19,415,2
2013,11,8,4,133,1
2013,11,8,4,136,3
2013,10,21,5,173,2
2013,10,21,5,172,1
2013,12,16,21,421,1
2013,12,16,21,422,5
2013,12,14,1,360,2
2013,12,14,1,366,3
2013,12,20,20,905,1
2013,10,27,18,935,1
2013,11,9,12,901,1
2013,12,16,21,328,1
2013,12,26,6,850,1
2013,12,21,17,247,1
2013,10,1,19,226,3
2013,11,29,21,349,1
2013,10,1,19,222,1
2013,10,15,20,2345,2
2013,10,1,19,220,1
2013,10,7,18,867,2
2013,11,6,18,324,2
2013,11,28,13,323,1
2013,11,12,16,2018,1
2013,10,16,18,292,6
2013,11,26,14,650,1
2013,10,6,15,634,1
2013,10,7,8,460,1
2013,11,6,22,915,1
2013,11,6,22,910,2
2013,12,2,9,901,2
2013,10,17,21,821,1
2013,12,27,20,650,1
2013,11,7,21,254,2
2013,12,30,17,308,1
2013,11,4,5,910,3
2013,11,12,19,433,2
2013,12,22,21,154,1
2013,12,6,14,934,1
2013,11,9,10,497,1
2013,12,27,20,382,1
2013,9,28,20,323,2
2013,9,28,20,321,2
2013,11,30,22,608,1
2013,11,30,23,315,1
2013,9,28,20,328,1
2013,11,2,22,136,1
2013,11,2,22,133,1
2013,12,14,12,771,1
2013,10,19,17,323,2
2013,10,19,17,322,2
2013,12,20,23,924,2
2013,12,17,23,361,2
2013,10,10,11,378,2
2013,12,23,18,935,1
2013,12,6,23,2802,1
2013,10,28,13,2332,1
2013,10,3,10,363,1
2013,12,31,19,840,1
2013,12,31,19,841,2
2013,9,27,16,802,1
2013,12,13,13,701,1
2013,10,11,20,176,1
2013,12,1,20,910,2
2013,12,23,14,125,1
2013,10,16,7,928,1
2013,12,16,18,2018,1
2013,9,27,14,2302,1
2013,11,7,11,350,1
2013,12,7,22,382,3
2013,12,1,20,696,1
2013,12,2,22,924,2
2013,12,13,20,849,2
2013,12,18,3,839,1
2013,10,22,6,184,2
2013,12,13,20,842,2
2013,11,28,10,915,1
2013,10,14,19,348,1
2013,10,14,19,349,1
2013,12,16,18,557,1
2013,10,14,19,342,4
2013,11,30,19,934,1
2013,11,24,12,635,1
2013,11,24,12,634,1
2013,10,27,11,663,1
2013,10,9,3,934,2
2013,12,10,20,361,2
2013,12,10,20,366,2
2013,10,19,23,901,4
2013,12,10,21,910,1
2013,12,11,16,358,1
2013,12,8,10,315,1
2013,11,8,22,696,1
2013,12,8,23,915,1
2013,12,8,23,910,2
2013,10,27,23,804,1
2013,11,2,16,397,2
2013,12,18,4,512,2
2013,12,18,4,513,2
2013,11,3,15,935,1
2013,11,3,15,934,3
2013,12,27,6,209,1
2013,10,31,6,2338,3
2013,10,31,6,2334,1
2013,10,16,2,924,2
2013,11,26,5,110,1
2013,10,18,21,824,1
2013,12,17,11,848,2
2013,12,17,11,849,2
2013,12,24,19,238,1
2013,12,17,11,846,2
2013,12,17,11,847,2
2013,12,17,11,840,4
2013,12,17,11,841,6
2013,12,17,11,843,2
2013,11,10,13,934,2
2013,11,12,4,871,2
2013,10,29,4,155,2
2013,12,3,20,901,1
2013,12,15,14,869,1
2013,11,27,2,155,2
2013,12,14,16,850,1
2013,10,20,14,689,2
2013,12,18,11,2308,3
2013,11,7,17,178,1
2013,11,9,16,653,1
2013,12,4,3,184,1
2013,12,16,21,858,1
2013,12,16,21,851,2
2013,12,15,5,133,1
2013,12,25,12,363,2
2013,12,10,11,120,1
2013,11,2,6,584,1
2013,12,25,8,512,1
2013,10,27,21,321,3
2013,10,27,21,323,3
2013,10,27,21,324,2
2013,12,20,22,366,5
2013,10,27,21,329,3
2013,10,27,21,328,2
2013,11,11,15,851,1
2013,12,9,19,315,1
2013,11,8,21,901,2
2013,12,29,21,821,2
2013,12,16,23,936,2
2013,11,9,23,850,1
2013,11,3,23,2336,1
2013,10,2,12,786,1
2013,11,5,20,162,3
2013,12,17,11,158,4
2013,12,17,11,157,6
2013,12,17,11,155,2
2013,10,20,13,110,2
2013,10,8,23,180,1
2013,12,11,15,396,2
2013,12,11,15,397,3
2013,12,11,15,393,6
2013,9,29,5,835,1
2013,12,11,15,398,4
2013,11,29,13,513,1
2013,12,15,5,794,1
2013,11,3,16,934,4
2013,12,8,13,925,1
2013,10,8,18,322,2
2013,12,12,11,771,1
2013,12,24,23,512,2
2013,12,17,8,760,1
2013,12,17,10,328,4
2013,12,17,10,329,1
2013,11,29,12,485,1
2013,12,17,10,321,2
2013,12,17,10,322,4
2013,12,17,10,323,3
2013,12,17,10,324,3
2013,12,17,10,325,1
2013,12,17,10,326,2
2013,12,8,9,342,1
2013,12,15,5,869,1
2013,12,11,12,915,2
2013,10,16,1,322,1
2013,10,16,1,323,2
2013,12,13,9,485,1
2013,12,12,20,850,1
2013,10,16,1,328,3
2013,12,28,7,650,1
2013,12,9,10,110,1
2013,12,11,15,936,1
2013,10,29,16,834,1
2013,11,4,23,570,1
2013,9,30,21,2342,1
2013,12,13,5,315,1
2013,10,3,4,584,1
2013,11,7,9,384,1
2013,12,30,11,910,1
2013,11,7,9,388,1
2013,12,10,16,638,1
2013,12,12,23,382,2
2013,10,11,18,2114,1
2013,12,17,17,330,1
2013,12,6,23,178,1
2013,10,11,18,2111,2
2013,11,2,18,915,1
2013,12,3,7,914,1
2013,10,2,19,2801,2
2013,12,16,15,292,1
2013,12,14,0,813,1
2013,12,14,17,178,1
2013,12,14,17,173,1
2013,12,16,15,298,1
2013,10,11,20,232,2
2013,11,3,17,935,1
2013,11,3,17,934,3
2013,12,10,7,843,1
2013,12,11,7,497,2
2013,10,26,20,906,1
2013,12,22,20,804,4
2013,11,7,22,127,1
2013,12,17,15,760,1
2013,12,17,15,765,1
2013,12,13,12,650,2
2013,12,17,15,766,1
2013,11,12,10,324,1
2013,11,12,10,326,1
2013,11,12,10,328,2
2013,11,3,5,178,1
2013,12,1,15,321,1
2013,12,1,15,322,1
2013,11,3,5,172,1
2013,12,9,15,247,1
2013,12,7,3,2336,1
2013,12,15,18,309,1
2013,11,26,4,570,1
2013,11,27,4,127,1
2013,11,23,21,910,1
2013,12,16,15,836,1
2013,10,30,8,623,1
2013,12,16,15,835,1
2013,11,5,19,415,1
2013,11,5,19,413,2
2013,12,1,18,696,1
2013,12,15,6,2345,1
2013,10,16,6,678,1
2013,12,18,21,322,1
2013,11,1,21,426,1
2013,10,11,5,111,2
2013,11,25,10,124,1
2013,11,24,21,438,1
2013,10,29,14,623,2
2013,10,29,14,621,1
